order_id,customer_id,age,product_id,country,signup_date,last_purchase_date,cancellations_count,subscription_status,order_date,unit_price,quantity,purchase_frequency,preferred_category,product_name,category,gender
ORD20236,CUST8236,49,PROD502,Canada,7/9/2025,6/2/2025,1,active,7/9/2025,226.39,2,9,Home,Tablet,Electronics,Male
ORD5461,CUST1461,66,PROD661,India,9/25/2021,5/16/2024,5,cancelled,7/8/2023,324.54,6,40,Electronics,Refrigerator,Home,Female
ORD19955,CUST7955,41,PROD510,Pakistan,12/31/2021,7/23/2025,1,active,4/22/2022,208.13,7,30,Electronics,T-Shirt,Clothing,Female
ORD19414,CUST7414,55,PROD517,USA,4/30/2022,7/21/2025,0,active,10/12/2023,485.27,8,43,Clothing,Coat,Clothing,Female
ORD19360,CUST7360,34,PROD504,India,12/21/2021,6/26/2025,0,active,3/26/2024,242.01,8,40,Clothing,Camera,Electronics,Male
ORD6457,CUST2457,35,PROD1657,UK,6/8/2023,4/21/2024,1,active,6/20/2023,240.13,7,15,Beauty,Lipstick,Beauty,Male
ORD20064,CUST8064,29,PROD535,Germany,7/15/2023,7/22/2025,0,active,4/14/2025,272.03,3,42,Home,Desk Lamp,Home,Female
ORD20270,CUST8270,64,PROD547,India,8/2/2024,5/2/2025,1,active,11/8/2024,71.14,2,15,Beauty,Sunscreen,Beauty,Male
ORD5649,CUST1649,66,PROD849,USA,12/27/2020,9/30/2023,2,cancelled,12/24/2022,786.08,2,19,Sports,Jeans,Clothing,Female
ORD19498,CUST7498,36,PROD513,UK,8/7/2019,4/6/2025,2,active,12/31/2023,91.87,4,44,Beauty,Jacket,Clothing,Male
ORD20300,CUST8300,40,PROD546,USA,11/18/2024,3/19/2025,0,active,11/23/2024,182.71,5,19,Clothing,Lip Balm,Beauty,Male
ORD5441,CUST1441,67,PROD641,India,2/13/2022,2/15/2023,1,active,11/17/2023,96.8,6,18,Beauty,Headphones,Electronics,Male
ORD6507,CUST2507,26,PROD1707,Canada,1/6/2023,11/30/2023,3,active,7/14/2025,486.08,4,26,Beauty,Basketball,Sports,Male
ORD19884,CUST7884,25,PROD516,India,10/5/2021,6/14/2025,0,active,1/31/2023,250.31,6,35,Electronics,Skirt,Clothing,Female
ORD20788,CUST8788,67,PROD523,Pakistan,10/24/2022,9/12/2023,5,cancelled,1/18/2023,40.59,3,7,Sports,Cricket Bat,Sports,Female
ORD21209,CUST9209,32,PROD542,Germany,12/29/2020,1/25/2025,4,cancelled,11/4/2023,63.63,3,10,Home,Nail Polish,Beauty,Male
ORD21889,CUST9889,24,PROD527,UK,6/15/2020,11/17/2024,1,paused,2/15/2021,241.76,5,26,Beauty,Swim Goggles,Sports,Male
ORD19743,CUST7743,45,PROD525,India,4/16/2019,3/29/2025,2,active,3/31/2021,112.46,3,25,Home,Running Shoes,Sports,Male
ORD19518,CUST7518,65,PROD542,Canada,7/17/2023,3/15/2025,1,active,3/18/2024,126.54,7,26,Beauty,Nail Polish,Beauty,Other
ORD6196,CUST2196,58,PROD1396,UK,9/18/2021,4/19/2024,1,paused,9/10/2024,757.47,2,21,Clothing,Face Wash,Beauty,Male
ORD21955,CUST9955,23,PROD500,USA,6/18/2020,1/9/2025,1,paused,1/23/2022,129.75,3,26,Home,Smartphone,Electronics,Female
ORD5796,CUST1796,20,PROD996,Canada,1/22/2022,6/5/2023,1,active,11/29/2022,166,8,39,Beauty,Dining Table,Home,Male
ORD19348,CUST7348,59,PROD536,Canada,1/1/2019,6/17/2025,1,active,6/8/2022,412.32,7,49,Sports,Microwave,Home,Other
ORD19866,CUST7866,54,PROD502,Pakistan,12/7/2020,4/11/2025,0,active,12/7/2023,117.67,2,29,Beauty,Tablet,Electronics,Female
ORD21079,CUST9079,53,PROD520,USA,7/18/2021,4/28/2024,4,cancelled,7/6/2022,67.29,1,5,Clothing,Football,Sports,Female
ORD5210,CUST1210,30,PROD410,UK,3/14/2022,2/14/2023,0,active,7/1/2022,181.32,2,40,Home,Moisturizer,Beauty,Female
ORD20032,CUST8032,59,PROD505,Germany,8/30/2020,3/20/2025,1,active,4/7/2023,180.76,7,36,Electronics,Smartwatch,Electronics,Male
ORD21027,CUST9027,63,PROD537,Canada,7/2/2023,10/10/2023,3,cancelled,7/6/2023,62.21,1,7,Sports,Iron,Home,Female
ORD6622,CUST2622,66,PROD1822,Pakistan,12/10/2021,1/28/2024,3,active,12/19/2023,201.65,9,21,Beauty,T-Shirt,Clothing,Male
ORD20431,CUST8431,39,PROD527,Pakistan,5/26/2023,4/16/2025,1,active,12/17/2023,114.61,2,16,Sports,Swim Goggles,Sports,Male
ORD6305,CUST2305,19,PROD1505,Canada,4/3/2021,5/8/2022,5,active,3/16/2023,1871.19,1,13,Electronics,Skirt,Clothing,Male
ORD20450,CUST8450,46,PROD521,UK,8/13/2022,5/15/2025,2,active,10/31/2023,41.12,3,24,Home,Dumbbells,Sports,Male
ORD19957,CUST7957,68,PROD520,Canada,12/6/2022,8/7/2025,1,active,4/15/2025,80.87,3,30,Sports,Football,Sports,Male
ORD19305,CUST7305,36,PROD526,Canada,5/30/2019,7/15/2025,1,active,9/27/2022,399.01,7,51,Sports,Tennis Racket,Sports,Male
ORD5481,CUST1481,65,PROD681,USA,4/21/2023,5/31/2023,0,cancelled,3/6/2025,132.87,5,2,Electronics,Laptop,Electronics,Male
ORD20286,CUST8286,20,PROD535,India,1/8/2025,6/6/2025,0,active,3/23/2025,154.65,2,10,Clothing,Desk Lamp,Home,Female
ORD6042,CUST2042,51,PROD1242,Pakistan,5/7/2021,7/16/2024,2,cancelled,1/25/2024,62.14,5,33,Home,Running Shoes,Sports,Male
ORD6015,CUST2015,40,PROD1215,Canada,11/14/2021,3/17/2024,3,cancelled,8/21/2022,204.01,4,12,Beauty,Yoga Mat,Sports,Female
ORD5220,CUST1220,51,PROD420,Pakistan,6/6/2022,7/12/2023,3,paused,7/28/2025,262.87,3,27,Home,Shampoo,Beauty,Female
ORD20966,CUST8966,44,PROD540,UK,7/27/2021,10/14/2023,4,cancelled,7/6/2023,26.04,2,9,Sports,Perfume,Beauty,Female
ORD21881,CUST9881,39,PROD503,India,9/3/2019,10/2/2024,1,paused,4/28/2022,200.18,3,25,Sports,Headphones,Electronics,Female
ORD5219,CUST1219,20,PROD419,Canada,8/20/2023,12/29/2023,4,active,6/8/2025,813.9,2,38,Sports,Cricket Bat,Sports,Female
ORD5119,CUST1119,19,PROD319,USA,9/12/2021,6/28/2024,1,active,10/24/2022,174.49,9,25,Clothing,Lipstick,Beauty,Female
ORD20744,CUST8744,47,PROD544,Pakistan,1/31/2019,8/26/2023,5,cancelled,1/31/2019,42.24,2,9,Sports,Moisturizer,Beauty,Female
ORD19775,CUST7775,37,PROD533,USA,5/24/2021,4/26/2025,1,active,7/27/2022,82.57,4,34,Electronics,Blender,Home,Female
ORD20321,CUST8321,41,PROD516,USA,9/27/2024,5/14/2025,0,active,10/21/2024,228.37,4,19,Home,Skirt,Clothing,Female
ORD6558,CUST2558,30,PROD1758,USA,11/6/2021,9/15/2023,2,active,12/9/2022,202.24,6,10,Electronics,Nail Polish,Beauty,Male
ORD6406,CUST2406,49,PROD1606,Pakistan,6/5/2023,7/15/2023,0,active,7/21/2024,679.41,2,41,Clothing,Skirt,Clothing,Male
ORD6242,CUST2242,41,PROD1442,Pakistan,2/18/2023,3/7/2025,4,active,8/19/2024,243.58,4,14,Sports,Jeans,Clothing,Female
ORD21942,CUST9942,49,PROD546,Germany,4/12/2021,9/26/2024,1,paused,7/15/2023,239.71,4,24,Home,Lip Balm,Beauty,Female
